/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871271, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas carbon dioxide (CO2), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876013
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156373 lines (-66 BP to 156306 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Carbon dioxide, dry-air mole fraction [µmol/mol] (CO2) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: µmol/mol = ppm
	Radiative forcing of atmospheric carbon dioxide [W/m**2] (dR_[CO2]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 5.35 * ln(CO2/(278 ppm))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312746 data points
*/
Age [ka BP]	CO2 [µmol/mol]	dR_[CO2] [W/m**2]
67.359	199.62	-1.772
67.360	199.62	-1.772
67.361	199.63	-1.772
67.362	199.63	-1.772
67.363	199.64	-1.772
67.364	199.64	-1.771
67.365	199.64	-1.771
67.366	199.65	-1.771
67.367	199.65	-1.771
67.368	199.66	-1.771
67.369	199.66	-1.771
67.370	199.67	-1.771
67.371	199.67	-1.771
67.372	199.68	-1.770
67.373	199.68	-1.770
67.374	199.69	-1.770
67.375	199.69	-1.770
67.376	199.69	-1.770
67.377	199.70	-1.770
67.378	199.70	-1.770
67.379	199.71	-1.770
67.380	199.71	-1.769
67.381	199.72	-1.769
67.382	199.72	-1.769
67.383	199.73	-1.769
67.384	199.73	-1.769
67.385	199.74	-1.769
67.386	199.74	-1.769
67.387	199.75	-1.769
67.388	199.75	-1.768
67.389	199.75	-1.768
67.390	199.76	-1.768
67.391	199.76	-1.768
67.392	199.77	-1.768
67.393	199.77	-1.768
67.394	199.78	-1.768
67.395	199.78	-1.768
67.396	199.79	-1.767
67.397	199.79	-1.767
67.398	199.80	-1.767
67.399	199.80	-1.767
67.400	199.81	-1.767
67.401	199.81	-1.767
67.402	199.81	-1.767
67.403	199.82	-1.767
67.404	199.82	-1.766
67.405	199.83	-1.766
67.406	199.83	-1.766
67.407	199.84	-1.766
67.408	199.84	-1.766
67.409	199.85	-1.766
67.410	199.85	-1.766
67.411	199.86	-1.766
67.412	199.86	-1.765
67.413	199.87	-1.765
67.414	199.87	-1.765
67.415	199.88	-1.765
67.416	199.88	-1.765
67.417	199.89	-1.765
67.418	199.89	-1.765
67.419	199.89	-1.765
67.420	199.90	-1.764
67.421	199.90	-1.764
67.422	199.91	-1.764
67.423	199.91	-1.764
67.424	199.92	-1.764
67.425	199.92	-1.764
67.426	199.93	-1.764
67.427	199.93	-1.764
67.428	199.94	-1.763
67.429	199.94	-1.763
67.430	199.95	-1.763
67.431	199.95	-1.763
67.432	199.96	-1.763
67.433	199.96	-1.763
67.434	199.97	-1.763
67.435	199.97	-1.763
67.436	199.97	-1.762
67.437	199.98	-1.762
67.438	199.98	-1.762
67.439	199.99	-1.762
67.440	199.99	-1.762
67.441	200.00	-1.762
67.442	200.00	-1.762
67.443	200.01	-1.762
67.444	200.01	-1.761
67.445	200.02	-1.761
67.446	200.02	-1.761
67.447	200.03	-1.761
67.448	200.03	-1.761
67.449	200.04	-1.761
67.450	200.04	-1.761
67.451	200.05	-1.761
67.452	200.05	-1.760
67.453	200.06	-1.760
67.454	200.06	-1.760
67.455	200.07	-1.760
67.456	200.07	-1.760
67.457	200.07	-1.760
67.458	200.08	-1.760
67.459	200.08	-1.760
67.460	200.09	-1.759
67.461	200.09	-1.759
67.462	200.10	-1.759
67.463	200.10	-1.759
67.464	200.11	-1.759
67.465	200.11	-1.759
67.466	200.12	-1.759
67.467	200.12	-1.759
67.468	200.13	-1.758
67.469	200.13	-1.758
67.470	200.14	-1.758
67.471	200.14	-1.758
67.472	200.15	-1.758
67.473	200.15	-1.758
67.474	200.16	-1.758
67.475	200.16	-1.757
67.476	200.17	-1.757
67.477	200.17	-1.757
67.478	200.17	-1.757
67.479	200.18	-1.757
67.480	200.18	-1.757
67.481	200.19	-1.757
67.482	200.19	-1.757
67.483	200.20	-1.756
67.484	200.20	-1.756
67.485	200.21	-1.756
67.486	200.21	-1.756
67.487	200.22	-1.756
67.488	200.22	-1.756
67.489	200.23	-1.756
67.490	200.23	-1.756
67.491	200.24	-1.755
67.492	200.24	-1.755
67.493	200.25	-1.755
67.494	200.25	-1.755
67.495	200.26	-1.755
67.496	200.26	-1.755
67.497	200.27	-1.755
67.498	200.27	-1.755
67.499	200.28	-1.754
67.500	200.28	-1.754
67.501	200.29	-1.754
67.502	200.29	-1.754
67.503	200.29	-1.754
67.504	200.30	-1.754
67.505	200.30	-1.754
67.506	200.31	-1.754
67.507	200.31	-1.753
67.508	200.32	-1.753
67.509	200.32	-1.753
67.510	200.33	-1.753
67.511	200.33	-1.753
67.512	200.34	-1.753
67.513	200.34	-1.753
67.514	200.35	-1.752
67.515	200.35	-1.752
67.516	200.36	-1.752
67.517	200.36	-1.752
67.518	200.37	-1.752
67.519	200.37	-1.752
67.520	200.38	-1.752
67.521	200.38	-1.752
67.522	200.39	-1.751
67.523	200.39	-1.751
67.524	200.40	-1.751
67.525	200.40	-1.751
67.526	200.40	-1.751
67.527	200.41	-1.751
67.528	200.41	-1.751
67.529	200.42	-1.751
67.530	200.42	-1.750
67.531	200.43	-1.750
67.532	200.43	-1.750
67.533	200.44	-1.750
67.534	200.44	-1.750
67.535	200.45	-1.750
67.536	200.45	-1.750
67.537	200.46	-1.750
67.538	200.46	-1.749
67.539	200.47	-1.749
67.540	200.47	-1.749
67.541	200.48	-1.749
67.542	200.48	-1.749
67.543	200.49	-1.749
67.544	200.49	-1.749
67.545	200.50	-1.749
67.546	200.50	-1.748
67.547	200.50	-1.748
67.548	200.51	-1.748
67.549	200.51	-1.748
67.550	200.52	-1.748
67.551	200.52	-1.748
67.552	200.53	-1.748
67.553	200.53	-1.748
67.554	200.54	-1.747
67.555	200.54	-1.747
67.556	200.55	-1.747
67.557	200.55	-1.747
67.558	200.56	-1.747
67.559	200.56	-1.747
67.560	200.57	-1.747
67.561	200.57	-1.747
67.562	200.58	-1.746
67.563	200.58	-1.746
67.564	200.59	-1.746
67.565	200.59	-1.746
67.566	200.59	-1.746
67.567	200.60	-1.746
67.568	200.60	-1.746
67.569	200.61	-1.746
67.570	200.61	-1.745
67.571	200.62	-1.745
67.572	200.62	-1.745
67.573	200.63	-1.745
67.574	200.63	-1.745
67.575	200.64	-1.745
67.576	200.64	-1.745
67.577	200.65	-1.745
67.578	200.65	-1.744
67.579	200.66	-1.744
67.580	200.66	-1.744
67.581	200.67	-1.744
67.582	200.67	-1.744
67.583	200.67	-1.744
67.584	200.68	-1.744
67.585	200.68	-1.744
67.586	200.69	-1.743
67.587	200.69	-1.743
67.588	200.70	-1.743
67.589	200.70	-1.743
67.590	200.71	-1.743
67.591	200.71	-1.743
67.592	200.72	-1.743
67.593	200.72	-1.743
67.594	200.73	-1.742
67.595	200.73	-1.742
67.596	200.73	-1.742
67.597	200.74	-1.742
67.598	200.74	-1.742
67.599	200.75	-1.742
67.600	200.75	-1.742
67.601	200.76	-1.742
67.602	200.76	-1.741
67.603	200.77	-1.741
67.604	200.77	-1.741
67.605	200.78	-1.741
67.606	200.78	-1.741
67.607	200.79	-1.741
67.608	200.79	-1.741
67.609	200.79	-1.741
67.610	200.80	-1.740
67.611	200.80	-1.740
67.612	200.81	-1.740
67.613	200.81	-1.740
67.614	200.82	-1.740
67.615	200.82	-1.740
67.616	200.83	-1.740
67.617	200.83	-1.740
67.618	200.84	-1.739
67.619	200.84	-1.739
67.620	200.85	-1.739
67.621	200.85	-1.739
67.622	200.85	-1.739
67.623	200.86	-1.739
67.624	200.86	-1.739
67.625	200.87	-1.739
67.626	200.87	-1.738
67.627	200.88	-1.738
67.628	200.88	-1.738
67.629	200.89	-1.738
67.630	200.89	-1.738
67.631	200.90	-1.738
67.632	200.90	-1.738
67.633	200.90	-1.738
67.634	200.91	-1.738
67.635	200.91	-1.737
67.636	200.92	-1.737
67.637	200.92	-1.737
67.638	200.93	-1.737
67.639	200.93	-1.737
67.640	200.94	-1.737
67.641	200.94	-1.737
67.642	200.94	-1.737
67.643	200.95	-1.736
67.644	200.95	-1.736
67.645	200.96	-1.736
67.646	200.96	-1.736
67.647	200.97	-1.736
67.648	200.97	-1.736
67.649	200.98	-1.736
67.650	200.98	-1.736
67.651	200.98	-1.736
67.652	200.99	-1.735
67.653	200.99	-1.735
67.654	201.00	-1.735
67.655	201.00	-1.735
67.656	201.01	-1.735
67.657	201.01	-1.735
67.658	201.02	-1.735
67.659	201.02	-1.735
67.660	201.02	-1.734
67.661	201.03	-1.734
67.662	201.03	-1.734
67.663	201.04	-1.734
67.664	201.04	-1.734
67.665	201.05	-1.734
67.666	201.05	-1.734
67.667	201.05	-1.734
67.668	201.06	-1.734
67.669	201.06	-1.733
67.670	201.07	-1.733
67.671	201.07	-1.733
67.672	201.08	-1.733
67.673	201.08	-1.733
67.674	201.08	-1.733
67.675	201.09	-1.733
67.676	201.09	-1.733
67.677	201.10	-1.732
67.678	201.10	-1.732
67.679	201.11	-1.732
67.680	201.11	-1.732
67.681	201.11	-1.732
67.682	201.12	-1.732
67.683	201.12	-1.732
67.684	201.13	-1.732
67.685	201.13	-1.732
67.686	201.14	-1.731
67.687	201.14	-1.731
67.688	201.14	-1.731
67.689	201.15	-1.731
67.690	201.15	-1.731
67.691	201.16	-1.731
67.692	201.16	-1.731
67.693	201.17	-1.731
67.694	201.17	-1.731
67.695	201.17	-1.730
67.696	201.18	-1.730
67.697	201.18	-1.730
67.698	201.19	-1.730
67.699	201.19	-1.730
67.700	201.19	-1.730
67.701	201.20	-1.730
67.702	201.20	-1.730
67.703	201.21	-1.730
67.704	201.21	-1.729
67.705	201.21	-1.729
67.706	201.22	-1.729
67.707	201.22	-1.729
67.708	201.23	-1.729
67.709	201.23	-1.729
67.710	201.24	-1.729
67.711	201.24	-1.729
67.712	201.24	-1.729
67.713	201.25	-1.729
67.714	201.25	-1.728
67.715	201.26	-1.728
67.716	201.26	-1.728
67.717	201.26	-1.728
67.718	201.27	-1.728
67.719	201.27	-1.728
67.720	201.28	-1.728
67.721	201.28	-1.728
67.722	201.28	-1.728
67.723	201.29	-1.727
67.724	201.29	-1.727
67.725	201.30	-1.727
67.726	201.30	-1.727
67.727	201.30	-1.727
67.728	201.31	-1.727
67.729	201.31	-1.727
67.730	201.32	-1.727
67.731	201.32	-1.727
67.732	201.32	-1.726
67.733	201.33	-1.726
67.734	201.33	-1.726
67.735	201.34	-1.726
67.736	201.34	-1.726
67.737	201.34	-1.726
67.738	201.35	-1.726
67.739	201.35	-1.726
67.740	201.35	-1.726
67.741	201.36	-1.726
67.742	201.36	-1.725
67.743	201.37	-1.725
67.744	201.37	-1.725
67.745	201.37	-1.725
67.746	201.38	-1.725
67.747	201.38	-1.725
67.748	201.39	-1.725
67.749	201.39	-1.725
67.750	201.39	-1.725
67.751	201.40	-1.725
67.752	201.40	-1.724
67.753	201.40	-1.724
67.754	201.41	-1.724
67.755	201.41	-1.724
67.756	201.42	-1.724
67.757	201.42	-1.724
67.758	201.42	-1.724
67.759	201.43	-1.724
67.760	201.43	-1.724
67.761	201.43	-1.724
67.762	201.44	-1.723
67.763	201.44	-1.723
67.764	201.45	-1.723
67.765	201.45	-1.723
67.766	201.45	-1.723
67.767	201.46	-1.723
67.768	201.46	-1.723
67.769	201.46	-1.723
67.770	201.47	-1.723
67.771	201.47	-1.723
67.772	201.48	-1.722
67.773	201.48	-1.722
67.774	201.48	-1.722
67.775	201.49	-1.722
67.776	201.49	-1.722
67.777	201.49	-1.722
67.778	201.50	-1.722
67.779	201.50	-1.722
67.780	201.50	-1.722
67.781	201.51	-1.722
67.782	201.51	-1.722
67.783	201.51	-1.721
67.784	201.52	-1.721
67.785	201.52	-1.721
67.786	201.53	-1.721
67.787	201.53	-1.721
67.788	201.53	-1.721
67.789	201.54	-1.721
67.790	201.54	-1.721
67.791	201.54	-1.721
67.792	201.55	-1.721
67.793	201.55	-1.720
67.794	201.55	-1.720
67.795	201.56	-1.720
67.796	201.56	-1.720
67.797	201.56	-1.720
67.798	201.57	-1.720
67.799	201.57	-1.720
67.800	201.57	-1.720
67.801	201.58	-1.720
67.802	201.58	-1.720
67.803	201.59	-1.720
67.804	201.59	-1.719
67.805	201.59	-1.719
67.806	201.60	-1.719
67.807	201.60	-1.719
67.808	201.60	-1.719
67.809	201.61	-1.719
67.810	201.61	-1.719
67.811	201.61	-1.719
67.812	201.62	-1.719
67.813	201.62	-1.719
67.814	201.62	-1.719
67.815	201.63	-1.718
67.816	201.63	-1.718
67.817	201.63	-1.718
67.818	201.64	-1.718
67.819	201.64	-1.718
67.820	201.64	-1.718
67.821	201.65	-1.718
67.822	201.65	-1.718
67.823	201.65	-1.718
67.824	201.66	-1.718
67.825	201.66	-1.718
67.826	201.66	-1.717
67.827	201.67	-1.717
67.828	201.67	-1.717
67.829	201.67	-1.717
67.830	201.68	-1.717
67.831	201.68	-1.717
67.832	201.68	-1.717
67.833	201.69	-1.717
67.834	201.69	-1.717
67.835	201.69	-1.717
67.836	201.70	-1.717
67.837	201.70	-1.717
67.838	201.70	-1.716
67.839	201.71	-1.716
67.840	201.71	-1.716
67.841	201.71	-1.716
67.842	201.71	-1.716
67.843	201.72	-1.716
67.844	201.72	-1.716
67.845	201.72	-1.716
67.846	201.73	-1.716
67.847	201.73	-1.716
67.848	201.73	-1.716
67.849	201.74	-1.716
67.850	201.74	-1.715
67.851	201.74	-1.715
67.852	201.75	-1.715
67.853	201.75	-1.715
67.854	201.75	-1.715
67.855	201.76	-1.715
67.856	201.76	-1.715
67.857	201.76	-1.715
67.858	201.77	-1.715
67.859	201.77	-1.715
67.860	201.77	-1.715
67.861	201.77	-1.715
67.862	201.78	-1.714
67.863	201.78	-1.714
67.864	201.78	-1.714
67.865	201.79	-1.714
67.866	201.79	-1.714
67.867	201.79	-1.714
67.868	201.80	-1.714
67.869	201.80	-1.714
67.870	201.80	-1.714
67.871	201.81	-1.714
67.872	201.81	-1.714
67.873	201.81	-1.714
67.874	201.81	-1.713
67.875	201.82	-1.713
67.876	201.82	-1.713
67.877	201.82	-1.713
67.878	201.83	-1.713
67.879	201.83	-1.713
67.880	201.83	-1.713
67.881	201.84	-1.713
67.882	201.84	-1.713
67.883	201.84	-1.713
67.884	201.84	-1.713
67.885	201.85	-1.713
67.886	201.85	-1.713
67.887	201.85	-1.712
67.888	201.86	-1.712
67.889	201.86	-1.712
67.890	201.86	-1.712
67.891	201.87	-1.712
67.892	201.87	-1.712
67.893	201.87	-1.712
67.894	201.87	-1.712
67.895	201.88	-1.712
67.896	201.88	-1.712
67.897	201.88	-1.712
67.898	201.89	-1.712
67.899	201.89	-1.712
67.900	201.89	-1.711
67.901	201.89	-1.711
67.902	201.90	-1.711
67.903	201.90	-1.711
67.904	201.90	-1.711
67.905	201.91	-1.711
67.906	201.91	-1.711
67.907	201.91	-1.711
67.908	201.91	-1.711
67.909	201.92	-1.711
67.910	201.92	-1.711
67.911	201.92	-1.711
67.912	201.93	-1.711
67.913	201.93	-1.710
67.914	201.93	-1.710
67.915	201.93	-1.710
67.916	201.94	-1.710
67.917	201.94	-1.710
67.918	201.94	-1.710
67.919	201.95	-1.710
67.920	201.95	-1.710
67.921	201.95	-1.710
67.922	201.95	-1.710
67.923	201.96	-1.710
67.924	201.96	-1.710
67.925	201.96	-1.710
67.926	201.96	-1.709
67.927	201.97	-1.709
67.928	201.97	-1.709
67.929	201.97	-1.709
67.930	201.98	-1.709
67.931	201.98	-1.709
67.932	201.98	-1.709
67.933	201.98	-1.709
67.934	201.99	-1.709
67.935	201.99	-1.709
67.936	201.99	-1.709
67.937	201.99	-1.709
67.938	202.00	-1.709
67.939	202.00	-1.709
67.940	202.00	-1.708
67.941	202.01	-1.708
67.942	202.01	-1.708
67.943	202.01	-1.708
67.944	202.01	-1.708
67.945	202.02	-1.708
67.946	202.02	-1.708
67.947	202.02	-1.708
67.948	202.02	-1.708
67.949	202.03	-1.708
67.950	202.03	-1.708
67.951	202.03	-1.708
67.952	202.03	-1.708
67.953	202.04	-1.708
67.954	202.04	-1.707
67.955	202.04	-1.707
67.956	202.04	-1.707
67.957	202.05	-1.707
67.958	202.05	-1.707
67.959	202.05	-1.707
67.960	202.06	-1.707
67.961	202.06	-1.707
67.962	202.06	-1.707
67.963	202.06	-1.707
67.964	202.07	-1.707
67.965	202.07	-1.707
67.966	202.07	-1.707
67.967	202.07	-1.707
67.968	202.08	-1.707
67.969	202.08	-1.706
67.970	202.08	-1.706
67.971	202.08	-1.706
67.972	202.09	-1.706
67.973	202.09	-1.706
67.974	202.09	-1.706
67.975	202.09	-1.706
67.976	202.10	-1.706
67.977	202.10	-1.706
67.978	202.10	-1.706
67.979	202.10	-1.706
67.980	202.11	-1.706
67.981	202.11	-1.706
67.982	202.11	-1.706
67.983	202.11	-1.706
67.984	202.12	-1.705
67.985	202.12	-1.705
67.986	202.12	-1.705
67.987	202.12	-1.705
67.988	202.13	-1.705
67.989	202.13	-1.705
67.990	202.13	-1.705
67.991	202.13	-1.705
67.992	202.14	-1.705
67.993	202.14	-1.705
67.994	202.14	-1.705
67.995	202.14	-1.705
67.996	202.15	-1.705
67.997	202.15	-1.705
67.998	202.15	-1.705
67.999	202.15	-1.704
68.000	202.16	-1.704
68.001	202.16	-1.704
68.002	202.16	-1.704
68.003	202.16	-1.704
68.004	202.17	-1.704
68.005	202.17	-1.704
68.006	202.17	-1.704
68.007	202.17	-1.704
68.008	202.17	-1.704
68.009	202.18	-1.704
68.010	202.18	-1.704
68.011	202.18	-1.704
68.012	202.18	-1.704
68.013	202.19	-1.704
68.014	202.19	-1.704
68.015	202.19	-1.703
68.016	202.19	-1.703
68.017	202.20	-1.703
68.018	202.20	-1.703
68.019	202.20	-1.703
68.020	202.20	-1.703
68.021	202.21	-1.703
68.022	202.21	-1.703
68.023	202.21	-1.703
68.024	202.21	-1.703
68.025	202.21	-1.703
68.026	202.22	-1.703
68.027	202.22	-1.703
68.028	202.22	-1.703
68.029	202.22	-1.703
68.030	202.23	-1.703
68.031	202.23	-1.702
68.032	202.23	-1.702
68.033	202.23	-1.702
68.034	202.24	-1.702
68.035	202.24	-1.702
68.036	202.24	-1.702
68.037	202.24	-1.702
68.038	202.25	-1.702
68.039	202.25	-1.702
68.040	202.25	-1.702
68.041	202.25	-1.702
68.042	202.25	-1.702
68.043	202.26	-1.702
68.044	202.26	-1.702
68.045	202.26	-1.702
68.046	202.26	-1.702
68.047	202.27	-1.701
68.048	202.27	-1.701
68.049	202.27	-1.701
68.050	202.27	-1.701
68.051	202.28	-1.701
68.052	202.28	-1.701
68.053	202.28	-1.701
68.054	202.28	-1.701
68.055	202.28	-1.701
68.056	202.29	-1.701
68.057	202.29	-1.701
68.058	202.29	-1.701
68.059	202.29	-1.701
68.060	202.30	-1.701
68.061	202.30	-1.701
68.062	202.30	-1.701
68.063	202.30	-1.701
68.064	202.30	-1.700
68.065	202.31	-1.700
68.066	202.31	-1.700
68.067	202.31	-1.700
68.068	202.31	-1.700
68.069	202.32	-1.700
68.070	202.32	-1.700
68.071	202.32	-1.700
68.072	202.32	-1.700
68.073	202.32	-1.700
68.074	202.33	-1.700
68.075	202.33	-1.700
68.076	202.33	-1.700
68.077	202.33	-1.700
68.078	202.34	-1.700
68.079	202.34	-1.700
68.080	202.34	-1.700
68.081	202.34	-1.699
68.082	202.35	-1.699
68.083	202.35	-1.699
68.084	202.35	-1.699
68.085	202.35	-1.699
68.086	202.35	-1.699
68.087	202.36	-1.699
68.088	202.36	-1.699
68.089	202.36	-1.699
68.090	202.36	-1.699
68.091	202.37	-1.699
68.092	202.37	-1.699
68.093	202.37	-1.699
68.094	202.37	-1.699
68.095	202.37	-1.699
68.096	202.38	-1.699
68.097	202.38	-1.699
68.098	202.38	-1.698
68.099	202.38	-1.698
68.100	202.39	-1.698
68.101	202.39	-1.698
68.102	202.39	-1.698
68.103	202.39	-1.698
68.104	202.39	-1.698
68.105	202.40	-1.698
68.106	202.40	-1.698
68.107	202.40	-1.698
68.108	202.40	-1.698
68.109	202.41	-1.698
68.110	202.41	-1.698
68.111	202.41	-1.698
68.112	202.41	-1.698
68.113	202.41	-1.698
68.114	202.42	-1.698
68.115	202.42	-1.697
68.116	202.42	-1.697
68.117	202.42	-1.697
68.118	202.43	-1.697
68.119	202.43	-1.697
68.120	202.43	-1.697
68.121	202.43	-1.697
68.122	202.43	-1.697
68.123	202.44	-1.697
68.124	202.44	-1.697
68.125	202.44	-1.697
68.126	202.44	-1.697
68.127	202.44	-1.697
68.128	202.45	-1.697
68.129	202.45	-1.697
68.130	202.45	-1.697
68.131	202.45	-1.697
68.132	202.46	-1.696
68.133	202.46	-1.696
68.134	202.46	-1.696
68.135	202.46	-1.696
68.136	202.46	-1.696
68.137	202.47	-1.696
68.138	202.47	-1.696
68.139	202.47	-1.696
68.140	202.47	-1.696
68.141	202.48	-1.696
68.142	202.48	-1.696
68.143	202.48	-1.696
68.144	202.48	-1.696
68.145	202.48	-1.696
68.146	202.49	-1.696
68.147	202.49	-1.696
68.148	202.49	-1.696
68.149	202.49	-1.695
68.150	202.50	-1.695
68.151	202.50	-1.695
68.152	202.50	-1.695
68.153	202.50	-1.695
68.154	202.50	-1.695
68.155	202.51	-1.695
68.156	202.51	-1.695
68.157	202.51	-1.695
68.158	202.51	-1.695
68.159	202.52	-1.695
68.160	202.52	-1.695
68.161	202.52	-1.695
68.162	202.52	-1.695
68.163	202.52	-1.695
68.164	202.53	-1.695
68.165	202.53	-1.695
68.166	202.53	-1.694
68.167	202.53	-1.694
68.168	202.54	-1.694
68.169	202.54	-1.694
68.170	202.54	-1.694
68.171	202.54	-1.694
68.172	202.54	-1.694
68.173	202.55	-1.694
68.174	202.55	-1.694
68.175	202.55	-1.694
68.176	202.55	-1.694
68.177	202.56	-1.694
68.178	202.56	-1.694
68.179	202.56	-1.694
68.180	202.56	-1.694
68.181	202.56	-1.694
68.182	202.57	-1.694
68.183	202.57	-1.693
68.184	202.57	-1.693
68.185	202.57	-1.693
68.186	202.58	-1.693
68.187	202.58	-1.693
68.188	202.58	-1.693
68.189	202.58	-1.693
68.190	202.59	-1.693
68.191	202.59	-1.693
68.192	202.59	-1.693
68.193	202.59	-1.693
68.194	202.59	-1.693
68.195	202.60	-1.693
68.196	202.60	-1.693
68.197	202.60	-1.693
68.198	202.60	-1.693
68.199	202.61	-1.693
68.200	202.61	-1.692
68.201	202.61	-1.692
68.202	202.61	-1.692
68.203	202.61	-1.692
68.204	202.62	-1.692
68.205	202.62	-1.692
68.206	202.62	-1.692
68.207	202.62	-1.692
68.208	202.63	-1.692
68.209	202.63	-1.692
68.210	202.63	-1.692
68.211	202.63	-1.692
68.212	202.64	-1.692
68.213	202.64	-1.692
68.214	202.64	-1.692
68.215	202.64	-1.692
68.216	202.64	-1.692
68.217	202.65	-1.691
68.218	202.65	-1.691
68.219	202.65	-1.691
68.220	202.65	-1.691
68.221	202.66	-1.691
68.222	202.66	-1.691
68.223	202.66	-1.691
68.224	202.66	-1.691
68.225	202.66	-1.691
68.226	202.67	-1.691
68.227	202.67	-1.691
68.228	202.67	-1.691
68.229	202.67	-1.691
68.230	202.68	-1.691
68.231	202.68	-1.691
68.232	202.68	-1.691
68.233	202.68	-1.690
68.234	202.69	-1.690
68.235	202.69	-1.690
68.236	202.69	-1.690
68.237	202.69	-1.690
68.238	202.69	-1.690
68.239	202.70	-1.690
68.240	202.70	-1.690
68.241	202.70	-1.690
68.242	202.70	-1.690
68.243	202.71	-1.690
68.244	202.71	-1.690
68.245	202.71	-1.690
68.246	202.71	-1.690
68.247	202.72	-1.690
68.248	202.72	-1.690
68.249	202.72	-1.689
68.250	202.72	-1.689
68.251	202.73	-1.689
68.252	202.73	-1.689
68.253	202.73	-1.689
68.254	202.73	-1.689
68.255	202.73	-1.689
68.256	202.74	-1.689
68.257	202.74	-1.689
68.258	202.74	-1.689
68.259	202.74	-1.689
68.260	202.75	-1.689
68.261	202.75	-1.689
68.262	202.75	-1.689
68.263	202.75	-1.689
68.264	202.76	-1.689
68.265	202.76	-1.688
68.266	202.76	-1.688
68.267	202.76	-1.688
68.268	202.77	-1.688
68.269	202.77	-1.688
68.270	202.77	-1.688
68.271	202.77	-1.688
68.272	202.77	-1.688
68.273	202.78	-1.688
68.274	202.78	-1.688
68.275	202.78	-1.688
68.276	202.78	-1.688
68.277	202.79	-1.688
68.278	202.79	-1.688
68.279	202.79	-1.688
68.280	202.79	-1.688
68.281	202.80	-1.687
68.282	202.80	-1.687
68.283	202.80	-1.687
68.284	202.80	-1.687
68.285	202.81	-1.687
68.286	202.81	-1.687
68.287	202.81	-1.687
68.288	202.81	-1.687
68.289	202.82	-1.687
68.290	202.82	-1.687
68.291	202.82	-1.687
68.292	202.82	-1.687
68.293	202.83	-1.687
68.294	202.83	-1.687
68.295	202.83	-1.687
68.296	202.83	-1.687
68.297	202.84	-1.686
68.298	202.84	-1.686
68.299	202.84	-1.686
68.300	202.84	-1.686
68.301	202.84	-1.686
68.302	202.85	-1.686
68.303	202.85	-1.686
68.304	202.85	-1.686
68.305	202.85	-1.686
68.306	202.86	-1.686
68.307	202.86	-1.686
68.308	202.86	-1.686
68.309	202.86	-1.686
68.310	202.87	-1.686
68.311	202.87	-1.686
68.312	202.87	-1.685
68.313	202.87	-1.685
68.314	202.88	-1.685
68.315	202.88	-1.685
68.316	202.88	-1.685
68.317	202.88	-1.685
68.318	202.89	-1.685
68.319	202.89	-1.685
68.320	202.89	-1.685
68.321	202.89	-1.685
68.322	202.90	-1.685
68.323	202.90	-1.685
68.324	202.90	-1.685
68.325	202.90	-1.685
68.326	202.91	-1.685
68.327	202.91	-1.685
68.328	202.91	-1.684
68.329	202.91	-1.684
68.330	202.92	-1.684
68.331	202.92	-1.684
68.332	202.92	-1.684
68.333	202.92	-1.684
68.334	202.93	-1.684
68.335	202.93	-1.684
68.336	202.93	-1.684
68.337	202.93	-1.684
68.338	202.94	-1.684
68.339	202.94	-1.684
68.340	202.94	-1.684
68.341	202.94	-1.684
68.342	202.95	-1.684
68.343	202.95	-1.683
68.344	202.95	-1.683
68.345	202.95	-1.683
68.346	202.96	-1.683
68.347	202.96	-1.683
68.348	202.96	-1.683
68.349	202.97	-1.683
