/* DATA DESCRIPTION:
Citation:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 1) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871270, 
	In supplement to: Köhler, P et al. (2017): A 156 kyr smoothed history of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing. Earth System Science Data, 9(1), 363-387, https://doi.org/10.5194/essd-9-363-2017
New version:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous record of the atmospheric greenhouse gas methane (CH4), final spline-smoothed data of calculated radiative forcing (Version 2). PANGAEA, https://doi.org/10.1594/PANGAEA.876009
Related to:	Köhler, Peter; Nehrbass-Ahles, Christoph; Schmitt, Jochen; Stocker, Thomas F; Fischer, Hubertus (2017): Continuous records of the atmospheric greenhouse gases CO2, CH4, and N2O and their radiative forcing since the penultimate glacial maximum. Earth System Science Data Discussions, https://doi.org/10.5194/essd-2017-6
Comment:	Final spline with 156278 lines (-66 BP to 156211 BP).
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html)
	Methane, dry-air mole fraction [nmol/mol] (CH4) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: nmol/mol = ppb
	Radiative forcing of atmospheric methane [W/m**2] (dR_[CH4]) * PI: Köhler, Peter (https://orcid.org/0000-0003-0904-8484, Peter.Koehler@awi.de, http://www.awi.de/en/about-us/organisation/staff/peter-koehler.html) * COMMENT: = 1.4 * 0.036 * (sqrt(CH4/ppb)-sqrt(742))
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	312556 data points
*/
Age [ka BP]	CH4 [nmol/mol]	dR_[CH4] [W/m**2]
56.164	452.61	-0.301
56.165	452.48	-0.301
56.166	452.35	-0.301
56.167	452.23	-0.301
56.168	452.10	-0.301
56.169	451.98	-0.301
56.170	451.87	-0.302
56.171	451.76	-0.302
56.172	451.65	-0.302
56.173	451.54	-0.302
56.174	451.43	-0.302
56.175	451.33	-0.302
56.176	451.23	-0.302
56.177	451.13	-0.302
56.178	451.04	-0.303
56.179	450.95	-0.303
56.180	450.86	-0.303
56.181	450.77	-0.303
56.182	450.69	-0.303
56.183	450.61	-0.303
56.184	450.53	-0.303
56.185	450.45	-0.303
56.186	450.38	-0.303
56.187	450.30	-0.303
56.188	450.23	-0.303
56.189	450.17	-0.304
56.190	450.10	-0.304
56.191	450.04	-0.304
56.192	449.98	-0.304
56.193	449.92	-0.304
56.194	449.86	-0.304
56.195	449.81	-0.304
56.196	449.76	-0.304
56.197	449.71	-0.304
56.198	449.66	-0.304
56.199	449.61	-0.304
56.200	449.57	-0.304
56.201	449.53	-0.304
56.202	449.49	-0.304
56.203	449.45	-0.304
56.204	449.42	-0.304
56.205	449.38	-0.304
56.206	449.35	-0.305
56.207	449.32	-0.305
56.208	449.29	-0.305
56.209	449.26	-0.305
56.210	449.24	-0.305
56.211	449.21	-0.305
56.212	449.19	-0.305
56.213	449.17	-0.305
56.214	449.15	-0.305
56.215	449.14	-0.305
56.216	449.12	-0.305
56.217	449.11	-0.305
56.218	449.10	-0.305
56.219	449.08	-0.305
56.220	449.08	-0.305
56.221	449.07	-0.305
56.222	449.06	-0.305
56.223	449.06	-0.305
56.224	449.05	-0.305
56.225	449.05	-0.305
56.226	449.05	-0.305
56.227	449.05	-0.305
56.228	449.05	-0.305
56.229	449.05	-0.305
56.230	449.05	-0.305
56.231	449.06	-0.305
56.232	449.06	-0.305
56.233	449.07	-0.305
56.234	449.08	-0.305
56.235	449.09	-0.305
56.236	449.10	-0.305
56.237	449.11	-0.305
56.238	449.12	-0.305
56.239	449.13	-0.305
56.240	449.15	-0.305
56.241	449.16	-0.305
56.242	449.18	-0.305
56.243	449.19	-0.305
56.244	449.21	-0.305
56.245	449.23	-0.305
56.246	449.25	-0.305
56.247	449.27	-0.305
56.248	449.29	-0.305
56.249	449.31	-0.305
56.250	449.33	-0.305
56.251	449.35	-0.305
56.252	449.37	-0.304
56.253	449.39	-0.304
56.254	449.42	-0.304
56.255	449.44	-0.304
56.256	449.46	-0.304
56.257	449.49	-0.304
56.258	449.51	-0.304
56.259	449.54	-0.304
56.260	449.57	-0.304
56.261	449.59	-0.304
56.262	449.62	-0.304
56.263	449.64	-0.304
56.264	449.67	-0.304
56.265	449.70	-0.304
56.266	449.72	-0.304
56.267	449.75	-0.304
56.268	449.78	-0.304
56.269	449.81	-0.304
56.270	449.83	-0.304
56.271	449.86	-0.304
56.272	449.89	-0.304
56.273	449.92	-0.304
56.274	449.94	-0.304
56.275	449.97	-0.304
56.276	450.00	-0.304
56.277	450.03	-0.304
56.278	450.05	-0.304
56.279	450.08	-0.304
56.280	450.11	-0.304
56.281	450.14	-0.304
56.282	450.17	-0.304
56.283	450.20	-0.303
56.284	450.23	-0.303
56.285	450.26	-0.303
56.286	450.29	-0.303
56.287	450.32	-0.303
56.288	450.35	-0.303
56.289	450.38	-0.303
56.290	450.41	-0.303
56.291	450.44	-0.303
56.292	450.47	-0.303
56.293	450.50	-0.303
56.294	450.53	-0.303
56.295	450.56	-0.303
56.296	450.60	-0.303
56.297	450.63	-0.303
56.298	450.66	-0.303
56.299	450.70	-0.303
56.300	450.73	-0.303
56.301	450.77	-0.303
56.302	450.80	-0.303
56.303	450.84	-0.303
56.304	450.88	-0.303
56.305	450.91	-0.303
56.306	450.95	-0.303
56.307	450.99	-0.303
56.308	451.03	-0.303
56.309	451.07	-0.302
56.310	451.11	-0.302
56.311	451.15	-0.302
56.312	451.19	-0.302
56.313	451.23	-0.302
56.314	451.27	-0.302
56.315	451.31	-0.302
56.316	451.36	-0.302
56.317	451.40	-0.302
56.318	451.45	-0.302
56.319	451.49	-0.302
56.320	451.54	-0.302
56.321	451.59	-0.302
56.322	451.63	-0.302
56.323	451.68	-0.302
56.324	451.73	-0.302
56.325	451.78	-0.302
56.326	451.83	-0.302
56.327	451.88	-0.301
56.328	451.94	-0.301
56.329	451.99	-0.301
56.330	452.04	-0.301
56.331	452.09	-0.301
56.332	452.14	-0.301
56.333	452.19	-0.301
56.334	452.24	-0.301
56.335	452.30	-0.301
56.336	452.35	-0.301
56.337	452.40	-0.301
56.338	452.45	-0.301
56.339	452.50	-0.301
56.340	452.55	-0.301
56.341	452.60	-0.301
56.342	452.64	-0.301
56.343	452.69	-0.301
56.344	452.74	-0.300
56.345	452.78	-0.300
56.346	452.83	-0.300
56.347	452.87	-0.300
56.348	452.91	-0.300
56.349	452.96	-0.300
56.350	453.00	-0.300
56.351	453.03	-0.300
56.352	453.07	-0.300
56.353	453.11	-0.300
56.354	453.14	-0.300
56.355	453.17	-0.300
56.356	453.21	-0.300
56.357	453.23	-0.300
56.358	453.26	-0.300
56.359	453.29	-0.300
56.360	453.31	-0.300
56.361	453.33	-0.300
56.362	453.35	-0.300
56.363	453.37	-0.300
56.364	453.39	-0.300
56.365	453.40	-0.300
56.366	453.41	-0.300
56.367	453.43	-0.300
56.368	453.44	-0.300
56.369	453.44	-0.300
56.370	453.45	-0.300
56.371	453.46	-0.300
56.372	453.46	-0.300
56.373	453.46	-0.300
56.374	453.47	-0.300
56.375	453.47	-0.300
56.376	453.47	-0.300
56.377	453.46	-0.300
56.378	453.46	-0.300
56.379	453.46	-0.300
56.380	453.45	-0.300
56.381	453.44	-0.300
56.382	453.44	-0.300
56.383	453.43	-0.300
56.384	453.42	-0.300
56.385	453.41	-0.300
56.386	453.40	-0.300
56.387	453.39	-0.300
56.388	453.38	-0.300
56.389	453.37	-0.300
56.390	453.35	-0.300
56.391	453.34	-0.300
56.392	453.33	-0.300
56.393	453.31	-0.300
56.394	453.30	-0.300
56.395	453.28	-0.300
56.396	453.27	-0.300
56.397	453.25	-0.300
56.398	453.23	-0.300
56.399	453.22	-0.300
56.400	453.20	-0.300
56.401	453.19	-0.300
56.402	453.17	-0.300
56.403	453.15	-0.300
56.404	453.14	-0.300
56.405	453.12	-0.300
56.406	453.10	-0.300
56.407	453.09	-0.300
56.408	453.07	-0.300
56.409	453.05	-0.300
56.410	453.04	-0.300
56.411	453.02	-0.300
56.412	453.01	-0.300
56.413	452.99	-0.300
56.414	452.98	-0.300
56.415	452.97	-0.300
56.416	452.95	-0.300
56.417	452.94	-0.300
56.418	452.93	-0.300
56.419	452.91	-0.300
56.420	452.90	-0.300
56.421	452.89	-0.300
56.422	452.88	-0.300
56.423	452.87	-0.300
56.424	452.86	-0.300
56.425	452.85	-0.300
56.426	452.85	-0.300
56.427	452.84	-0.300
56.428	452.83	-0.300
56.429	452.83	-0.300
56.430	452.82	-0.300
56.431	452.82	-0.300
56.432	452.82	-0.300
56.433	452.82	-0.300
56.434	452.82	-0.300
56.435	452.82	-0.300
56.436	452.82	-0.300
56.437	452.82	-0.300
56.438	452.83	-0.300
56.439	452.83	-0.300
56.440	452.84	-0.300
56.441	452.85	-0.300
56.442	452.85	-0.300
56.443	452.86	-0.300
56.444	452.88	-0.300
56.445	452.89	-0.300
56.446	452.90	-0.300
56.447	452.92	-0.300
56.448	452.94	-0.300
56.449	452.96	-0.300
56.450	452.98	-0.300
56.451	453.00	-0.300
56.452	453.02	-0.300
56.453	453.05	-0.300
56.454	453.07	-0.300
56.455	453.10	-0.300
56.456	453.13	-0.300
56.457	453.16	-0.300
56.458	453.20	-0.300
56.459	453.23	-0.300
56.460	453.27	-0.300
56.461	453.31	-0.300
56.462	453.35	-0.300
56.463	453.40	-0.300
56.464	453.44	-0.300
56.465	453.49	-0.300
56.466	453.54	-0.300
56.467	453.59	-0.299
56.468	453.65	-0.299
56.469	453.70	-0.299
56.470	453.76	-0.299
56.471	453.82	-0.299
56.472	453.89	-0.299
56.473	453.95	-0.299
56.474	454.02	-0.299
56.475	454.09	-0.299
56.476	454.16	-0.299
56.477	454.24	-0.299
56.478	454.32	-0.299
56.479	454.40	-0.299
56.480	454.48	-0.298
56.481	454.57	-0.298
56.482	454.66	-0.298
56.483	454.75	-0.298
56.484	454.84	-0.298
56.485	454.94	-0.298
56.486	455.04	-0.298
56.487	455.15	-0.298
56.488	455.25	-0.298
56.489	455.36	-0.297
56.490	455.47	-0.297
56.491	455.59	-0.297
56.492	455.71	-0.297
56.493	455.83	-0.297
56.494	455.96	-0.297
56.495	456.08	-0.297
56.496	456.21	-0.296
56.497	456.35	-0.296
56.498	456.49	-0.296
56.499	456.63	-0.296
56.500	456.77	-0.296
56.501	456.92	-0.296
56.502	457.08	-0.295
56.503	457.23	-0.295
56.504	457.39	-0.295
56.505	457.55	-0.295
56.506	457.72	-0.295
56.507	457.89	-0.294
56.508	458.06	-0.294
56.509	458.24	-0.294
56.510	458.42	-0.294
56.511	458.60	-0.294
56.512	458.78	-0.293
56.513	458.97	-0.293
56.514	459.16	-0.293
56.515	459.35	-0.293
56.516	459.54	-0.292
56.517	459.73	-0.292
56.518	459.93	-0.292
56.519	460.13	-0.292
56.520	460.33	-0.292
56.521	460.53	-0.291
56.522	460.73	-0.291
56.523	460.93	-0.291
56.524	461.13	-0.291
56.525	461.34	-0.290
56.526	461.54	-0.290
56.527	461.75	-0.290
56.528	461.95	-0.290
56.529	462.16	-0.289
56.530	462.36	-0.289
56.531	462.56	-0.289
56.532	462.77	-0.289
56.533	462.97	-0.288
56.534	463.17	-0.288
56.535	463.38	-0.288
56.536	463.58	-0.288
56.537	463.78	-0.287
56.538	463.97	-0.287
56.539	464.17	-0.287
56.540	464.37	-0.287
56.541	464.56	-0.287
56.542	464.75	-0.286
56.543	464.94	-0.286
56.544	465.13	-0.286
56.545	465.31	-0.286
56.546	465.49	-0.285
56.547	465.67	-0.285
56.548	465.85	-0.285
56.549	466.02	-0.285
56.550	466.19	-0.285
56.551	466.36	-0.284
56.552	466.52	-0.284
56.553	466.68	-0.284
56.554	466.84	-0.284
56.555	466.99	-0.284
56.556	467.14	-0.284
56.557	467.29	-0.283
56.558	467.43	-0.283
56.559	467.56	-0.283
56.560	467.70	-0.283
56.561	467.83	-0.283
56.562	467.95	-0.283
56.563	468.07	-0.282
56.564	468.19	-0.282
56.565	468.30	-0.282
56.566	468.41	-0.282
56.567	468.51	-0.282
56.568	468.61	-0.282
56.569	468.71	-0.282
56.570	468.80	-0.282
56.571	468.88	-0.282
56.572	468.97	-0.281
56.573	469.04	-0.281
56.574	469.12	-0.281
56.575	469.18	-0.281
56.576	469.25	-0.281
56.577	469.30	-0.281
56.578	469.36	-0.281
56.579	469.41	-0.281
56.580	469.45	-0.281
56.581	469.49	-0.281
56.582	469.52	-0.281
56.583	469.55	-0.281
56.584	469.58	-0.281
56.585	469.60	-0.281
56.586	469.61	-0.281
56.587	469.62	-0.281
56.588	469.62	-0.281
56.589	469.62	-0.281
56.590	469.61	-0.281
56.591	469.60	-0.281
56.592	469.58	-0.281
56.593	469.56	-0.281
56.594	469.53	-0.281
56.595	469.49	-0.281
56.596	469.45	-0.281
56.597	469.41	-0.281
56.598	469.36	-0.281
56.599	469.30	-0.281
56.600	469.24	-0.281
56.601	469.17	-0.281
56.602	469.09	-0.281
56.603	469.01	-0.281
56.604	468.93	-0.281
56.605	468.84	-0.282
56.606	468.74	-0.282
56.607	468.64	-0.282
56.608	468.53	-0.282
56.609	468.42	-0.282
56.610	468.30	-0.282
56.611	468.18	-0.282
56.612	468.06	-0.282
56.613	467.93	-0.283
56.614	467.80	-0.283
56.615	467.66	-0.283
56.616	467.52	-0.283
56.617	467.38	-0.283
56.618	467.24	-0.283
56.619	467.09	-0.284
56.620	466.94	-0.284
56.621	466.79	-0.284
56.622	466.64	-0.284
56.623	466.48	-0.284
56.624	466.32	-0.285
56.625	466.16	-0.285
56.626	466.00	-0.285
56.627	465.84	-0.285
56.628	465.68	-0.285
56.629	465.52	-0.285
56.630	465.36	-0.286
56.631	465.19	-0.286
56.632	465.03	-0.286
56.633	464.87	-0.286
56.634	464.71	-0.286
56.635	464.54	-0.287
56.636	464.38	-0.287
56.637	464.22	-0.287
56.638	464.06	-0.287
56.639	463.91	-0.287
56.640	463.75	-0.288
56.641	463.60	-0.288
56.642	463.44	-0.288
56.643	463.29	-0.288
56.644	463.15	-0.288
56.645	463.00	-0.288
56.646	462.86	-0.289
56.647	462.72	-0.289
56.648	462.59	-0.289
56.649	462.45	-0.289
56.650	462.32	-0.289
56.651	462.20	-0.289
56.652	462.08	-0.289
56.653	461.96	-0.290
56.654	461.85	-0.290
56.655	461.74	-0.290
56.656	461.64	-0.290
56.657	461.54	-0.290
56.658	461.44	-0.290
56.659	461.35	-0.290
56.660	461.26	-0.290
56.661	461.18	-0.291
56.662	461.10	-0.291
56.663	461.02	-0.291
56.664	460.95	-0.291
56.665	460.88	-0.291
56.666	460.82	-0.291
56.667	460.76	-0.291
56.668	460.70	-0.291
56.669	460.65	-0.291
56.670	460.60	-0.291
56.671	460.56	-0.291
56.672	460.52	-0.291
56.673	460.48	-0.291
56.674	460.45	-0.291
56.675	460.42	-0.291
56.676	460.39	-0.291
56.677	460.37	-0.291
56.678	460.35	-0.292
56.679	460.34	-0.292
56.680	460.32	-0.292
56.681	460.32	-0.292
56.682	460.31	-0.292
56.683	460.31	-0.292
56.684	460.31	-0.292
56.685	460.32	-0.292
56.686	460.33	-0.292
56.687	460.34	-0.292
56.688	460.36	-0.292
56.689	460.38	-0.291
56.690	460.40	-0.291
56.691	460.42	-0.291
56.692	460.45	-0.291
56.693	460.49	-0.291
56.694	460.52	-0.291
56.695	460.56	-0.291
56.696	460.60	-0.291
56.697	460.65	-0.291
56.698	460.70	-0.291
56.699	460.75	-0.291
56.700	460.80	-0.291
56.701	460.86	-0.291
56.702	460.92	-0.291
56.703	460.98	-0.291
56.704	461.05	-0.291
56.705	461.12	-0.291
56.706	461.19	-0.291
56.707	461.26	-0.290
56.708	461.34	-0.290
56.709	461.42	-0.290
56.710	461.51	-0.290
56.711	461.59	-0.290
56.712	461.68	-0.290
56.713	461.77	-0.290
56.714	461.87	-0.290
56.715	461.97	-0.290
56.716	462.07	-0.289
56.717	462.17	-0.289
56.718	462.28	-0.289
56.719	462.39	-0.289
56.720	462.50	-0.289
56.721	462.61	-0.289
56.722	462.73	-0.289
56.723	462.85	-0.289
56.724	462.97	-0.288
56.725	463.09	-0.288
56.726	463.22	-0.288
56.727	463.35	-0.288
56.728	463.48	-0.288
56.729	463.62	-0.288
56.730	463.76	-0.288
56.731	463.90	-0.287
56.732	464.04	-0.287
56.733	464.18	-0.287
56.734	464.33	-0.287
56.735	464.48	-0.287
56.736	464.63	-0.286
56.737	464.79	-0.286
56.738	464.94	-0.286
56.739	465.10	-0.286
56.740	465.26	-0.286
56.741	465.43	-0.286
56.742	465.59	-0.285
56.743	465.76	-0.285
56.744	465.93	-0.285
56.745	466.11	-0.285
56.746	466.28	-0.285
56.747	466.46	-0.284
56.748	466.64	-0.284
56.749	466.82	-0.284
56.750	467.01	-0.284
56.751	467.19	-0.284
56.752	467.38	-0.283
56.753	467.57	-0.283
56.754	467.76	-0.283
56.755	467.96	-0.283
56.756	468.15	-0.282
56.757	468.35	-0.282
56.758	468.55	-0.282
56.759	468.75	-0.282
56.760	468.96	-0.281
56.761	469.16	-0.281
56.762	469.37	-0.281
56.763	469.57	-0.281
56.764	469.78	-0.280
56.765	469.99	-0.280
56.766	470.20	-0.280
56.767	470.41	-0.280
56.768	470.62	-0.280
56.769	470.83	-0.279
56.770	471.05	-0.279
56.771	471.26	-0.279
56.772	471.47	-0.279
56.773	471.69	-0.278
56.774	471.90	-0.278
56.775	472.12	-0.278
56.776	472.33	-0.278
56.777	472.55	-0.277
56.778	472.76	-0.277
56.779	472.97	-0.277
56.780	473.19	-0.277
56.781	473.40	-0.276
56.782	473.61	-0.276
56.783	473.82	-0.276
56.784	474.04	-0.276
56.785	474.25	-0.275
56.786	474.46	-0.275
56.787	474.66	-0.275
56.788	474.87	-0.275
56.789	475.08	-0.274
56.790	475.28	-0.274
56.791	475.49	-0.274
56.792	475.69	-0.274
56.793	475.89	-0.273
56.794	476.09	-0.273
56.795	476.29	-0.273
56.796	476.48	-0.273
56.797	476.68	-0.272
56.798	476.87	-0.272
56.799	477.06	-0.272
56.800	477.25	-0.272
56.801	477.43	-0.272
56.802	477.62	-0.271
56.803	477.80	-0.271
56.804	477.98	-0.271
56.805	478.15	-0.271
56.806	478.33	-0.271
56.807	478.50	-0.270
56.808	478.67	-0.270
56.809	478.83	-0.270
56.810	479.00	-0.270
56.811	479.16	-0.270
56.812	479.33	-0.269
56.813	479.49	-0.269
56.814	479.65	-0.269
56.815	479.81	-0.269
56.816	479.96	-0.269
56.817	480.12	-0.269
56.818	480.28	-0.268
56.819	480.43	-0.268
56.820	480.59	-0.268
56.821	480.74	-0.268
56.822	480.89	-0.268
56.823	481.05	-0.267
56.824	481.20	-0.267
56.825	481.35	-0.267
56.826	481.51	-0.267
56.827	481.66	-0.267
56.828	481.81	-0.267
56.829	481.97	-0.266
56.830	482.12	-0.266
56.831	482.28	-0.266
56.832	482.44	-0.266
56.833	482.59	-0.266
56.834	482.75	-0.266
56.835	482.91	-0.265
56.836	483.07	-0.265
56.837	483.24	-0.265
56.838	483.40	-0.265
56.839	483.57	-0.265
56.840	483.74	-0.264
56.841	483.91	-0.264
56.842	484.08	-0.264
56.843	484.25	-0.264
56.844	484.43	-0.264
56.845	484.61	-0.263
56.846	484.79	-0.263
56.847	484.97	-0.263
56.848	485.16	-0.263
56.849	485.35	-0.263
56.850	485.54	-0.262
56.851	485.74	-0.262
56.852	485.93	-0.262
56.853	486.14	-0.262
56.854	486.34	-0.261
56.855	486.55	-0.261
56.856	486.76	-0.261
56.857	486.98	-0.261
56.858	487.20	-0.260
56.859	487.42	-0.260
56.860	487.65	-0.260
56.861	487.88	-0.260
56.862	488.11	-0.259
56.863	488.34	-0.259
56.864	488.58	-0.259
56.865	488.82	-0.259
56.866	489.07	-0.258
56.867	489.31	-0.258
56.868	489.56	-0.258
56.869	489.82	-0.257
56.870	490.07	-0.257
56.871	490.33	-0.257
56.872	490.59	-0.257
56.873	490.86	-0.256
56.874	491.12	-0.256
56.875	491.39	-0.256
56.876	491.66	-0.255
56.877	491.94	-0.255
56.878	492.21	-0.255
56.879	492.49	-0.254
56.880	492.77	-0.254
56.881	493.05	-0.254
56.882	493.34	-0.253
56.883	493.63	-0.253
56.884	493.92	-0.253
56.885	494.21	-0.252
56.886	494.50	-0.252
56.887	494.80	-0.252
56.888	495.10	-0.251
56.889	495.40	-0.251
56.890	495.70	-0.251
56.891	496.00	-0.250
56.892	496.31	-0.250
56.893	496.62	-0.250
56.894	496.93	-0.249
56.895	497.24	-0.249
56.896	497.55	-0.249
56.897	497.86	-0.248
56.898	498.18	-0.248
56.899	498.50	-0.248
56.900	498.81	-0.247
56.901	499.13	-0.247
56.902	499.46	-0.247
56.903	499.78	-0.246
56.904	500.10	-0.246
56.905	500.43	-0.245
56.906	500.75	-0.245
56.907	501.08	-0.245
56.908	501.41	-0.244
56.909	501.74	-0.244
56.910	502.07	-0.244
56.911	502.40	-0.243
56.912	502.74	-0.243
56.913	503.07	-0.242
56.914	503.41	-0.242
56.915	503.74	-0.242
56.916	504.08	-0.241
56.917	504.42	-0.241
56.918	504.76	-0.241
56.919	505.10	-0.240
56.920	505.44	-0.240
56.921	505.78	-0.239
56.922	506.13	-0.239
56.923	506.47	-0.239
56.924	506.82	-0.238
56.925	507.16	-0.238
56.926	507.51	-0.237
56.927	507.86	-0.237
56.928	508.21	-0.237
56.929	508.56	-0.236
56.930	508.91	-0.236
56.931	509.26	-0.236
56.932	509.61	-0.235
56.933	509.96	-0.235
56.934	510.32	-0.234
56.935	510.67	-0.234
56.936	511.03	-0.234
56.937	511.38	-0.233
56.938	511.74	-0.233
56.939	512.09	-0.232
56.940	512.45	-0.232
56.941	512.81	-0.232
56.942	513.17	-0.231
56.943	513.53	-0.231
56.944	513.89	-0.230
56.945	514.25	-0.230
56.946	514.61	-0.230
56.947	514.97	-0.229
56.948	515.33	-0.229
56.949	515.69	-0.228
56.950	516.05	-0.228
56.951	516.42	-0.228
56.952	516.78	-0.227
56.953	517.14	-0.227
56.954	517.51	-0.226
56.955	517.87	-0.226
56.956	518.24	-0.226
56.957	518.60	-0.225
56.958	518.97	-0.225
56.959	519.33	-0.224
56.960	519.70	-0.224
56.961	520.06	-0.224
56.962	520.43	-0.223
56.963	520.80	-0.223
56.964	521.16	-0.222
56.965	521.53	-0.222
56.966	521.90	-0.221
56.967	522.26	-0.221
56.968	522.63	-0.221
56.969	523.00	-0.220
56.970	523.37	-0.220
56.971	523.73	-0.219
56.972	524.10	-0.219
56.973	524.47	-0.219
56.974	524.83	-0.218
56.975	525.20	-0.218
56.976	525.57	-0.217
56.977	525.94	-0.217
56.978	526.30	-0.217
56.979	526.67	-0.216
56.980	527.04	-0.216
56.981	527.41	-0.215
56.982	527.77	-0.215
56.983	528.14	-0.215
56.984	528.51	-0.214
56.985	528.87	-0.214
56.986	529.24	-0.213
56.987	529.60	-0.213
56.988	529.97	-0.213
56.989	530.33	-0.212
56.990	530.70	-0.212
56.991	531.06	-0.211
56.992	531.43	-0.211
56.993	531.79	-0.211
56.994	532.16	-0.210
56.995	532.52	-0.210
56.996	532.88	-0.209
56.997	533.25	-0.209
56.998	533.61	-0.209
56.999	533.97	-0.208
57.000	534.33	-0.208
57.001	534.69	-0.207
57.002	535.05	-0.207
57.003	535.41	-0.207
57.004	535.77	-0.206
57.005	536.13	-0.206
57.006	536.49	-0.206
57.007	536.84	-0.205
57.008	537.20	-0.205
57.009	537.55	-0.204
57.010	537.91	-0.204
57.011	538.26	-0.204
57.012	538.61	-0.203
57.013	538.96	-0.203
57.014	539.30	-0.202
57.015	539.65	-0.202
57.016	539.99	-0.202
57.017	540.33	-0.201
57.018	540.67	-0.201
57.019	541.00	-0.201
57.020	541.33	-0.200
57.021	541.66	-0.200
57.022	541.99	-0.200
57.023	542.31	-0.199
57.024	542.63	-0.199
57.025	542.95	-0.198
57.026	543.26	-0.198
57.027	543.57	-0.198
57.028	543.88	-0.197
57.029	544.18	-0.197
57.030	544.47	-0.197
57.031	544.77	-0.197
57.032	545.06	-0.196
57.033	545.34	-0.196
57.034	545.62	-0.196
57.035	545.89	-0.195
57.036	546.16	-0.195
57.037	546.43	-0.195
57.038	546.69	-0.194
57.039	546.94	-0.194
57.040	547.19	-0.194
57.041	547.43	-0.194
57.042	547.67	-0.193
57.043	547.90	-0.193
57.044	548.13	-0.193
57.045	548.35	-0.193
57.046	548.56	-0.192
57.047	548.77	-0.192
57.048	548.97	-0.192
57.049	549.16	-0.192
57.050	549.35	-0.192
57.051	549.53	-0.191
57.052	549.70	-0.191
57.053	549.86	-0.191
57.054	550.02	-0.191
57.055	550.17	-0.191
57.056	550.32	-0.191
57.057	550.45	-0.190
57.058	550.58	-0.190
57.059	550.70	-0.190
57.060	550.82	-0.190
57.061	550.93	-0.190
57.062	551.03	-0.190
57.063	551.12	-0.190
57.064	551.21	-0.190
57.065	551.29	-0.190
57.066	551.37	-0.189
57.067	551.44	-0.189
57.068	551.50	-0.189
57.069	551.56	-0.189
57.070	551.61	-0.189
57.071	551.65	-0.189
57.072	551.69	-0.189
57.073	551.73	-0.189
57.074	551.75	-0.189
57.075	551.78	-0.189
57.076	551.79	-0.189
57.077	551.80	-0.189
57.078	551.81	-0.189
57.079	551.81	-0.189
57.080	551.81	-0.189
57.081	551.80	-0.189
57.082	551.78	-0.189
57.083	551.76	-0.189
57.084	551.74	-0.189
57.085	551.71	-0.189
57.086	551.67	-0.189
57.087	551.63	-0.189
57.088	551.59	-0.189
57.089	551.54	-0.189
57.090	551.49	-0.189
57.091	551.43	-0.189
57.092	551.37	-0.189
57.093	551.31	-0.189
57.094	551.24	-0.190
57.095	551.17	-0.190
57.096	551.09	-0.190
57.097	551.01	-0.190
57.098	550.93	-0.190
57.099	550.84	-0.190
57.100	550.75	-0.190
57.101	550.66	-0.190
57.102	550.56	-0.190
57.103	550.46	-0.190
57.104	550.35	-0.191
57.105	550.24	-0.191
57.106	550.13	-0.191
57.107	550.02	-0.191
57.108	549.90	-0.191
57.109	549.79	-0.191
57.110	549.66	-0.191
57.111	549.54	-0.191
57.112	549.41	-0.192
57.113	549.28	-0.192
57.114	549.14	-0.192
57.115	549.01	-0.192
57.116	548.86	-0.192
57.117	548.72	-0.192
57.118	548.57	-0.192
57.119	548.42	-0.193
57.120	548.27	-0.193
57.121	548.11	-0.193
57.122	547.95	-0.193
57.123	547.79	-0.193
57.124	547.62	-0.193
57.125	547.45	-0.194
57.126	547.28	-0.194
57.127	547.11	-0.194
57.128	546.93	-0.194
57.129	546.75	-0.194
57.130	546.56	-0.195
57.131	546.37	-0.195
57.132	546.18	-0.195
57.133	545.98	-0.195
57.134	545.79	-0.195
57.135	545.58	-0.196
57.136	545.38	-0.196
57.137	545.17	-0.196
57.138	544.96	-0.196
57.139	544.74	-0.197
57.140	544.52	-0.197
57.141	544.30	-0.197
57.142	544.08	-0.197
57.143	543.85	-0.198
57.144	543.62	-0.198
57.145	543.38	-0.198
57.146	543.14	-0.198
57.147	542.90	-0.199
57.148	542.66	-0.199
57.149	542.41	-0.199
57.150	542.15	-0.199
57.151	541.90	-0.200
57.152	541.64	-0.200
57.153	541.38	-0.200
57.154	541.11	-0.200
57.155	540.84	-0.201
